"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
2.24124166698475e-15,1.5905188907811,0.622,0.187,5.17682000240139e-11,"Lum","Fibroblasts",8.18398014859741e-13,TRUE,TRUE,"Up_in_Aged"
2.55331602559162e-15,2.40048259507466,0.592,0.187,5.89764935591151e-11,"Slit2","Fibroblasts",8.65756512391671e-13,TRUE,TRUE,"Up_in_Aged"
1.16484506402217e-14,1.07803743868113,0.875,0.593,2.69055912887841e-10,"Postn","Fibroblasts",3.68634634594217e-12,TRUE,TRUE,"Up_in_Aged"
1.89475238448236e-14,2.13996153912562,0.547,0.154,4.37649905767735e-10,"Sema5a","Fibroblasts",5.62149348071109e-12,TRUE,TRUE,"Up_in_Aged"
5.96381078756039e-14,1.59834174806537,0.645,0.26,1.3775210157107e-09,"Gja1","Fibroblasts",1.66530645932642e-11,TRUE,TRUE,"Up_in_Aged"
6.61958261822122e-14,2.03264645545329,0.455,0.073,1.52899119315674e-09,"Aldh1a2","Fibroblasts",1.7457310382609e-11,TRUE,TRUE,"Up_in_Aged"
7.09565546892166e-14,2.26903433531754,0.562,0.203,1.63895450021152e-09,"Palldl1","Fibroblasts",1.77279350057743e-11,TRUE,TRUE,"Up_in_Aged"
1.0624575385976e-13,-3.9506252469134,0.023,0.171,2.45406442265274e-09,"Car12","Fibroblasts",2.42057518024342e-11,TRUE,TRUE,"Down_in_Aged"
1.07082533779464e-13,-5.33427841966937,0.011,0.13,2.47339236523807e-09,"Tll1","Fibroblasts",2.42057518024342e-11,TRUE,TRUE,"Down_in_Aged"
0,5.59946863527047,0.805,0.165,0,"Glycam1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,3.28901722890677,0.753,0.233,0,"Clca1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,10.3718092101532,0.498,0.001,0,"Igf2","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-4.19050662980908,0.09,0.587,0,"Adgrl3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.09203118401743,0.268,0.676,0,"Plcb1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.53558406948581,0.25,0.634,0,"Bmpr1b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.37093657744658,0.466,0.817,0,"Scd2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.49569270964098,1,0.674,0,"Csn2","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,2.32833829978335,0.419,0.103,0,"Cd74","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.89873643479029,0.195,0.504,0,"Ar","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.09347927011628,0.836,0.53,0,"Tmsb4x","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,3.3526594989425,0.354,0.055,0,"Il33","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.5301431289853,0.179,0.47,0,"Tfap2b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.98484645536162,0.088,0.378,0,"Mboat2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,4.95215657238889,0.305,0.021,0,"AC112568.1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.23536683392424,0.232,0.513,0,"Cdk6","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.01135791942036,0.307,0.587,0,"Fasn","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,3.19321192972497,0.338,0.061,0,"C3","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.36150365060534,0.323,0.597,0,"Setbp1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.01837801268392,0.084,0.351,0,"Rims2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.25151093929794,0.433,0.699,0,"Alcam","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-5.60347032742699,0.016,0.277,0,"Car12","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.28083340520382,0.222,0.483,0,"Hacd2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.86223973506767,0.134,0.394,0,"Fgfr2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.849978086225701,0.425,0.684,0,"Mtss1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-7.03457585057703,0.007,0.264,0,"Dscam","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.08943914186719,0.535,0.791,0,"Prlr","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.94356968461493,0.078,0.333,0,"Zfp385d","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.67747069631814,0.404,0.657,0,"Csap1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,5.80556456864005,0.263,0.011,0,"Gulp1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.84183716035538,0.142,0.392,0,"Acsl3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.81100068502507,0.103,0.353,0,"Kctd8","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-3.25310940421077,0.037,0.285,0,"Eda","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.04537753465891,0.335,0.583,0,"Pde4d","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-4.19681073649877,0.043,0.289,0,"Nrg4","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.26824067423633,0.234,0.48,0,"Zdhhc14","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.47135374368431,0.484,0.729,0,"Eps15","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.4727505315588,0.308,0.552,0,"Qsox1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.86296115715109,0.337,0.096,0,"Ccdc141","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,2.87030423147401,0.304,0.064,0,"Igf1r","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,5.04993014976975,0.252,0.013,0,"RGD1565355","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-2.01423970125615,0.09,0.328,0,"P3h2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.15060009227507,0.347,0.109,0,"Eva1b","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-0.963522776994773,0.487,0.723,0,"Maml3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-6.31249313494628,0.006,0.242,0,"Tll1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.73189482663842,0.303,0.07,0,"Wnt5b","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.4905889967411,0.205,0.436,0,"Galnt7","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.44493627839142,0.356,0.587,0,"Mast4","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.27537983387533,0.458,0.687,0,"Stxbp6","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.98026532339991,0.359,0.587,0,"Nr6a1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.2265036458674,0.281,0.509,0,"Atp13a3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.76093494266316,0.284,0.511,0,"Prkd1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.22942644319061,0.151,0.377,0,"Adra1a","Luminal",0,TRUE,TRUE,"Down_in_Aged"
