"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
0.000591400190138102,0.697964379661145,0.351,0.187,1,"Arhgap35","Fibroblasts",0.00401627568324116,TRUE,TRUE,"Up_in_Aged"
0.00228630679885498,0.422221688850696,0.113,0.073,1,"Actr5","Basal",0.00403740754725808,TRUE,TRUE,"Up_in_Aged"
0.00228931701845877,-0.635032407085532,0.22,0.267,1,"Trim5","Basal",0.00404084647362128,TRUE,TRUE,"Down_in_Aged"
0.00230414673950691,-1.29660054915192,0.109,0.148,1,"Il1rapl1","Basal",0.00406513499007206,TRUE,TRUE,"Down_in_Aged"
0.00231252651994029,0.468352635890741,0.131,0.09,1,"Pms2","Basal",0.00407802682226947,TRUE,TRUE,"Up_in_Aged"
0.00060240206728588,1.14530597998001,0.247,0.106,1,"Slc29a1","Fibroblasts",0.0040851465905801,TRUE,TRUE,"Up_in_Aged"
0.00231829876060494,0.420170443225756,0.209,0.158,1,"Lmbrd1","Basal",0.00408631056458971,TRUE,TRUE,"Up_in_Aged"
0.00384228291426043,0.28339659651819,0.167,0.162,1,"Ndufs6l1","Luminal",0.0040876349243675,TRUE,TRUE,"Up_in_Aged"
0.00232238602043629,0.346118227699548,0.243,0.19,1,"Ankrd50","Basal",0.00409161800264077,TRUE,TRUE,"Up_in_Aged"
0.000605532772632505,0.418915642028058,0.415,0.236,1,"Tpm3","Fibroblasts",0.00409379574310431,TRUE,TRUE,"Up_in_Aged"
0.00060620364032889,3.09451174708874,0.118,0.016,1,"Eva1c","Fibroblasts",0.00409379574310431,TRUE,TRUE,"Up_in_Aged"
0.000606826057036244,0.334040821040795,0.548,0.35,1,"Tacc1","Fibroblasts",0.00409379574310431,TRUE,TRUE,"Up_in_Aged"
0.000607127070390864,1.03808943176477,0.295,0.146,1,"Jazf1","Fibroblasts",0.00409379574310431,TRUE,TRUE,"Up_in_Aged"
0.00232503011925575,-0.881188663761832,0.171,0.214,1,"Osr1","Basal",0.00409437911691077,TRUE,TRUE,"Down_in_Aged"
0.000608486373508007,1.03623569746228,0.185,0.057,1,"Dpp3","Fibroblasts",0.00409714158162058,TRUE,TRUE,"Up_in_Aged"
0.000610899578247361,0.961017854964142,0.326,0.163,1,"Slk","Fibroblasts",0.00410756416138841,TRUE,TRUE,"Up_in_Aged"
0.00233600915511195,0.440514079250342,0.122,0.082,1,"Fam98c","Basal",0.00411180870728501,TRUE,TRUE,"Up_in_Aged"
0.00233921446246188,0.721036065015814,0.121,0.081,1,"Rnf19b","Basal",0.00411554529675153,TRUE,TRUE,"Up_in_Aged"
0.00235150705199339,0.469542505094763,0.122,0.081,1,"Wnt5b","Basal",0.0041341574605657,TRUE,TRUE,"Up_in_Aged"
0.00235274138118548,0.44281822738233,0.116,0.076,1,"Prpf4","Basal",0.0041341574605657,TRUE,TRUE,"Up_in_Aged"
0.0023530554299485,0.448522758133438,0.113,0.075,1,"Pdik1l","Basal",0.0041341574605657,TRUE,TRUE,"Up_in_Aged"
0.00235585110015039,0.252572525540241,0.257,0.199,1,"Limk2","Basal",0.0041371574516267,TRUE,TRUE,"Up_in_Aged"
0.000480142413315726,0.933306955374886,0.301,0.161,1,"Ramp3","Endothelial",0.00415051463136179,TRUE,TRUE,"Up_in_Aged"
0.00048075831036433,0.650441878496087,0.652,0.516,1,"Rpl7a","Endothelial",0.00415051463136179,TRUE,TRUE,"Up_in_Aged"
0.0023712666187832,0.427763573432205,0.208,0.157,1,"Dnpep","Basal",0.00416230641025565,TRUE,TRUE,"Up_in_Aged"
0.00391380425508923,0.263544199092166,0.208,0.202,1,"H1f4","Luminal",0.00416245156268195,TRUE,TRUE,"Up_in_Aged"
0.000620792425134255,2.32748233703584,0.155,0.041,1,"Zc3h12c","Fibroblasts",0.00416817771161572,TRUE,TRUE,"Up_in_Aged"
0.000621718458824997,1.09399626906097,0.314,0.163,1,"Hsd17b12","Fibroblasts",0.0041684993277433,TRUE,TRUE,"Up_in_Aged"
0.000624317730440468,0.808101879275069,0.303,0.146,1,"Tp53","Fibroblasts",0.00418002294273752,TRUE,TRUE,"Up_in_Aged"
0.00238327318455307,0.627914395237697,0.103,0.066,1,"Trmu","Basal",0.0041814511525938,TRUE,TRUE,"Up_in_Aged"
0.00238506240027832,0.328914500289522,0.297,0.241,1,"Btd","Basal",0.00418266016875376,TRUE,TRUE,"Up_in_Aged"
0.000626073070155932,0.847414256821932,0.248,0.106,1,"Gaa","Fibroblasts",0.00418587163947917,TRUE,TRUE,"Up_in_Aged"
0.00048876342426676,1.91622550298182,0.109,0.022,1,"Hmmr","Endothelial",0.0042111856634824,TRUE,TRUE,"Up_in_Aged"
0.00240672719984844,0.36976267583895,0.195,0.145,1,"Orc5","Basal",0.00421870761356559,TRUE,TRUE,"Up_in_Aged"
