"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","102-FF-Tumor","107-L4t2-Tumor","116-R4-Tumor","157-R2-Tumor","158-L2-Tumor","167-L2-Tumor","external_gene_name"
"ENSRNOG00000001224",182.106816018329,2.51196836193167,0.54710713318401,4.59136466986405,4.40357137776803e-06,0.000857745882279373,406.723482131921,389.884301628274,133.668744514629,75.064504000241,58.0728956902406,29.2269681446717,"Itgb2"
"ENSRNOG00000012782",1466.86022599467,1.6123249472667,0.351178556118165,4.59118280195954,4.4074108976158e-06,0.000857745882279373,2454.9187953769,1970.96774586293,2205.53428449137,725.623538668996,472.049680682099,972.067310885749,"Cemip2"
"ENSRNOG00000017084",406.136112242735,4.46199314375166,0.97139985886424,4.59336400251141,4.36157300382908e-06,0.000857745882279373,37.9025467219711,2036.63247034769,256.49948271726,37.1286793979687,34.0141246185695,34.6393696529443,"Hsd11b2"
"ENSRNOG00000011406",46.0025774857729,3.58159975984946,0.780583378396628,4.58836283089491,4.46735696163742e-06,0.000859062107158681,78.720673961017,158.005743291458,18.0633438533282,7.264306838733,7.46651516017379,6.49488180992706,"Ccl4"
"ENSRNOG00000011054",327.976579009213,2.26761856934321,0.495935126721437,4.57240967046263,4.82147097044681e-06,0.000910940130138202,479.612995058788,906.994006945774,242.951974827264,121.878925849854,110.338501811457,106.083069562142,"Laptm5"
"ENSRNOG00000036826",6998.06312928229,5.85446569345446,1.28073487192844,4.57117692488471,4.8499257841816e-06,0.000910940130138202,30919.7313835772,9645.53242001948,709.889413435798,279.272240689069,348.437374141444,85.5159438307062,"Glycam1"
"ENSRNOG00000002794",12.4337020023628,6.25004222896368,1.36916069526149,4.56487120218566,4.99801098406834e-06,0.000927964039375356,29.155805170747,25.6502830018601,18.9665110459946,0,0.829612795574866,0,"Selp"
"ENSRNOG00000013967",131.989639187862,1.9158471747458,0.419955493156914,4.56202432392034,5.06627762350052e-06,0.000929949800595499,287.184680931858,129.277426329375,209.534788698607,46.8144218496126,53.0952189167914,66.0312984009251,"Blnk"
"ENSRNOG00000016997",84.6222225176059,4.88943560315627,1.07506139645062,4.54805243616694,5.41446466163334e-06,0.000982694917745655,365.905354892875,6.15606792044643,119.218069431966,2.421435612911,10.7849663424733,3.24744090496353,"Bnip5"
"ENSRNOG00000000728",131.420103727731,2.17911549843279,0.481571741396358,4.52500699504139,6.03935081511409e-06,0.00108115108010878,316.340486102605,215.462377215625,114.702233468634,46.8144218496126,60.5617340769652,34.6393696529443,"Clic2"
