Gene	E1_log2FC	E1_pvalue	E1_qvalue	E2_log2FC	E2_pvalue	E2_qvalue	
CCNI	1.071	0.000	0.000	0.965	0.000	0.000	nd
APH1A	1.070	0.000	0.000	0.929	0.000	0.000	nd
ZNF337-AS1	1.070	0.000	0.000	0.580	0.012	0.020	nd
USP3	1.069	0.000	0.000	0.959	0.000	0.000	nd
IMPA2	1.069	0.000	0.000	0.673	0.000	0.000	nd
ABCA3	1.069	0.000	0.000	0.747	0.000	0.000	nd
LAMB2	1.068	0.000	0.000	0.663	0.000	0.000	nd
MYO5B	1.067	0.000	0.000	0.817	0.000	0.000	nd
TRIM25	1.067	0.000	0.000	0.874	0.000	0.000	nd
NFE2L2	1.066	0.000	0.000	0.984	0.000	0.000	nd
RP5-991G20.1	1.066	0.000	0.000	0.851	0.000	0.000	nd
ZNF574	1.065	0.000	0.000	0.826	0.000	0.000	nd
CTB-147N14.6	1.065	0.028	0.048	0.655	0.136	0.189	nd
TEX2	1.064	0.000	0.000	0.939	0.000	0.000	nd
C14orf169	1.064	0.000	0.000	0.993	0.000	0.000	nd
ASMTL	1.063	0.000	0.000	0.870	0.000	0.000	nd
NPIPA3	1.063	0.000	0.000	0.609	0.035	0.056	nd
RELB	1.062	0.000	0.000	0.708	0.000	0.000	nd
RPS6KA4	1.061	0.000	0.000	0.869	0.000	0.000	nd
PIK3CB	1.061	0.000	0.000	0.950	0.000	0.000	nd
ST7	1.060	0.000	0.000	0.912	0.000	0.000	nd
CLTB	1.060	0.000	0.000	0.973	0.000	0.000	nd
RP11-345P4.9	1.060	0.000	0.000	0.737	0.000	0.000	nd
GLIS2	1.059	0.000	0.000	0.856	0.000	0.000	nd
EPHB3	1.059	0.000	0.000	0.736	0.000	0.000	nd
MAPT	1.059	0.000	0.000	0.981	0.000	0.000	nd
EIF3CL	1.059	0.000	0.000	0.789	0.000	0.000	nd
HERC6	1.058	0.000	0.000	0.846	0.000	0.000	nd
AL358852.1	1.058	0.002	0.004	0.919	0.012	0.021	nd
SLC12A5	1.057	0.000	0.000	0.937	0.000	0.000	nd
ACTN1	1.057	0.000	0.000	0.854	0.000	0.000	nd
WDR74	1.057	0.000	0.000	0.989	0.000	0.000	nd
ATP6V0A4	1.057	0.018	0.032	0.359	0.490	0.570	nd
FA2H	1.056	0.000	0.000	0.684	0.000	0.000	nd
PPP1R13L	1.055	0.000	0.000	0.969	0.000	0.000	nd
RABEP2	1.055	0.000	0.000	0.873	0.000	0.000	nd
PRKCE	1.054	0.000	0.000	0.888	0.000	0.000	nd
HDGF	1.053	0.000	0.000	0.965	0.000	0.000	nd
SCAMP2	1.052	0.000	0.000	0.821	0.000	0.000	nd
PRSS22	1.051	0.000	0.000	0.941	0.000	0.000	nd
C2orf81	1.051	0.000	0.000	0.992	0.000	0.000	nd
RFWD2	1.051	0.000	0.000	0.968	0.000	0.000	nd
MARK2	1.050	0.000	0.000	0.884	0.000	0.000	nd
SUMO3	1.050	0.000	0.000	0.956	0.000	0.000	nd
ATP1A1	1.050	0.000	0.000	0.953	0.000	0.000	nd
SOX13	1.050	0.000	0.000	0.846	0.000	0.000	nd
ZBTB45	1.049	0.000	0.000	0.714	0.000	0.000	nd
CDK13	1.048	0.000	0.000	0.986	0.000	0.000	nd
LASP1	1.048	0.000	0.000	0.903	0.000	0.000	nd
DGKZ	1.047	0.000	0.000	0.748	0.000	0.000	nd
DCAF11	1.046	0.000	0.000	0.779	0.000	0.000	nd
HIST1H4J	1.046	0.000	0.000	0.938	0.000	0.000	nd
BRMS1	1.046	0.000	0.000	0.897	0.000	0.000	nd
ZMIZ1	1.046	0.000	0.000	0.929	0.000	0.000	nd
NBEAL2	1.043	0.000	0.000	0.790	0.000	0.000	nd
CTD-2192J16.20	1.043	0.000	0.000	0.771	0.000	0.000	nd
LMX1B	1.043	0.000	0.000	0.761	0.000	0.000	nd
SHB	1.042	0.000	0.000	0.800	0.000	0.000	nd
PACS2	1.041	0.000	0.000	0.823	0.000	0.000	nd
EPHB4	1.041	0.000	0.000	0.653	0.000	0.000	nd
TMEM179B	1.040	0.000	0.000	0.925	0.000	0.000	nd
LINGO3	1.040	0.002	0.005	0.842	0.027	0.043	nd
SLC12A2	1.039	0.000	0.000	0.845	0.000	0.000	nd
SAMD10	1.039	0.000	0.000	0.927	0.000	0.000	nd
DAG1	1.038	0.000	0.000	0.738	0.000	0.000	nd
